"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.532130000E-3,-1.429508924E-1,-8.374691010E-3,-7.297563553E-2,1.607188118E-1
1.755811100E-2,-2.247415781E-1,1.958475113E-1,-1.295533180E-1,3.250370545E-1
2.558409200E-2,-2.848726511E-1,2.089500427E-1,-4.296016693E-2,3.558906063E-1
3.361007300E-2,-3.749306202E-1,2.082777023E-1,-4.395341873E-2,4.311432178E-1
4.166657100E-2,-3.741850853E-1,2.102622986E-1,-2.676010132E-3,4.292224054E-1
4.969255300E-2,-4.803293943E-1,2.765960693E-1,1.750297546E-1,5.812547872E-1
5.771853400E-2,-5.659013987E-1,3.193554878E-1,3.497204781E-1,7.379273226E-1
6.574451600E-2,-5.960074663E-1,3.516006470E-1,5.300588608E-1,8.716709877E-1
7.380101400E-2,-5.212961435E-1,3.165078163E-1,5.646705627E-1,8.311315849E-1
8.182699500E-2,-3.882362247E-1,2.893733978E-1,6.153483391E-1,7.830184595E-1
8.985297700E-2,-1.644316912E-1,3.130764961E-1,2.394704819E-1,4.270840493E-1
9.790947500E-2,-3.983855247E-2,2.905945778E-1,-3.715419769E-2,2.956564786E-1
1.059354570E-1,-8.716821671E-3,2.551059723E-1,-2.094879150E-1,3.302123962E-1
1.139614380E-1,-2.861797810E-3,2.515091896E-1,-2.697916031E-1,3.688530486E-1
1.220179370E-1,-2.708673477E-2,2.282977104E-1,-2.119593620E-1,3.126984281E-1
1.300439180E-1,-8.225876093E-2,1.403036118E-1,-2.183432579E-1,2.722597758E-1
1.380698990E-1,-1.342982650E-1,7.846117020E-2,-2.986712456E-1,3.367442533E-1
1.460958810E-1,-2.062000036E-1,1.146607399E-1,-4.220061302E-1,4.834818515E-1
1.541523780E-1,-1.958525181E-1,1.084418297E-1,-3.725895882E-1,4.346732571E-1
1.621783600E-1,-1.085438132E-1,7.658672333E-2,-3.366460800E-1,3.619086470E-1
1.702043410E-1,-1.053985953E-1,6.841659546E-2,-4.586133957E-1,4.755164993E-1
1.782608400E-1,-1.301734447E-1,1.811552048E-2,-4.831395149E-1,5.006966034E-1
1.862868210E-1,-6.917768717E-2,-1.651477814E-2,-4.390835762E-1,4.448063367E-1
1.943128020E-1,1.119071245E-2,-7.328987122E-3,-3.856568336E-1,3.858887656E-1
2.023387840E-1,9.750306606E-2,-2.899122238E-2,-2.696785927E-1,2.882254018E-1
2.103952820E-1,1.811544299E-1,-5.771827698E-2,-2.082338333E-1,2.819745668E-1
2.184212640E-1,2.068185210E-1,-6.050729752E-2,-1.147332191E-1,2.441285425E-1
2.264472450E-1,2.441151738E-1,-1.343235970E-1,1.057815552E-2,2.788313902E-1
2.345037440E-1,2.202451229E-1,-2.189588547E-1,1.271829605E-1,3.355985692E-1
2.425297250E-1,1.595507860E-1,-3.312144279E-1,1.939043999E-1,4.156421140E-1
2.505557060E-1,1.367696524E-1,-4.520430565E-1,2.505316734E-1,5.346166684E-1
2.586122040E-1,1.138338447E-1,-5.412449837E-1,3.478302956E-1,6.533683426E-1
2.666381850E-1,1.785833836E-1,-5.542964935E-1,3.699831963E-1,6.899450653E-1
2.746641670E-1,2.231224775E-1,-5.633902550E-1,4.154014587E-1,7.346772021E-1
2.827206650E-1,3.038347960E-1,-4.850945473E-1,4.173970222E-1,7.084155399E-1
2.907466470E-1,3.316540122E-1,-4.320230484E-1,4.671168327E-1,7.175210335E-1
2.987726280E-1,3.240935802E-1,-4.346313477E-1,4.225273132E-1,6.873648140E-1
3.067986090E-1,2.870150805E-1,-4.253425598E-1,3.642954826E-1,6.292893995E-1
3.148551080E-1,2.928886414E-1,-4.437856674E-1,2.935194969E-1,6.073575305E-1
3.228810890E-1,2.972420156E-1,-4.739918709E-1,2.251935005E-1,6.031029947E-1
3.309070710E-1,3.934482038E-1,-4.988145828E-1,1.660041809E-1,6.566390677E-1
3.389635690E-1,4.703209996E-1,-4.662485123E-1,9.484958649E-2,6.690186559E-1
3.469895510E-1,5.080513954E-1,-4.236311913E-1,6.392860413E-2,6.645799222E-1
3.550155320E-1,5.721265674E-1,-4.236025810E-1,-3.456020355E-2,7.127147840E-1
3.630415130E-1,6.438270807E-1,-4.807915688E-1,-1.932191849E-1,8.264426755E-1
3.710980110E-1,4.806305766E-1,-5.354881287E-1,4.724569321E-1,8.607954692E-1
3.791239930E-1,5.564146638E-1,-5.973958969E-1,4.345726967E-1,9.248419132E-1
3.871499740E-1,5.968158841E-1,-6.203598976E-1,5.682649612E-1,1.031484691E0
3.952064730E-1,3.735829294E-1,-7.930507660E-1,2.089386463E0,2.265839693E0
4.032324540E-1,2.584080100E-1,-5.560498238E-1,2.189288616E0,2.273532659E0
4.112584350E-1,3.035474718E-1,-3.271751404E-1,1.467982292E0,1.534326123E0
4.193149340E-1,3.531897366E-1,-2.884831429E-1,9.420790672E-1,1.046651080E0
4.273409150E-1,4.616053402E-1,-3.315467834E-1,4.237504005E-1,7.089197146E-1
4.353668970E-1,5.796698928E-1,-4.994463921E-1,-9.725284576E-2,7.713118689E-1
4.433928780E-1,6.529041529E-1,-5.757727623E-1,-2.110285759E-1,8.957294047E-1
4.514188590E-1,7.573098540E-1,-5.683827400E-1,3.674125671E-2,9.475901404E-1
4.594753570E-1,7.162061930E-1,-5.438385010E-1,2.458806038E-1,9.322922811E-1
4.675013390E-1,5.687192678E-1,-5.073723793E-1,4.454531670E-1,8.827779227E-1
4.755273210E-1,-3.991436660E-1,-5.257987976E-2,-3.720474243E-1,5.481784343E-1
4.835533020E-1,-1.480895162E0,6.361708641E-1,-1.961617470E-1,1.623651218E0
4.916098000E-1,-2.401667595E0,7.805886269E-1,8.395242691E-2,2.526731852E0
4.996357810E-1,-1.828431249E0,8.559083939E-1,4.554944038E-1,2.069592994E0
5.076617620E-1,-8.651623130E-1,5.200977325E-1,3.029131889E-1,1.053927834E0
5.156877440E-1,4.955810308E-2,1.517081261E-1,4.664011002E-1,4.929516683E-1
5.237442420E-1,5.786507130E-1,1.412940025E-1,6.752738953E-1,9.004418229E-1
5.317702240E-1,1.121495962E0,3.599324226E-1,1.141762257E0,1.640404094E0
5.397962050E-1,1.385643125E0,7.206773758E-1,1.559319973E0,2.207002838E0
5.478221860E-1,1.381804943E0,9.580316544E-1,1.984499454E0,2.601047411E0
5.558481680E-1,1.810106874E0,8.952822685E-1,2.215061665E0,2.997418124E0
5.639046660E-1,2.340171814E0,4.206252098E-1,2.165813446E0,3.216221007E0
5.719306480E-1,2.533816814E0,4.082398415E-1,2.150799274E0,3.348555649E0
5.799566290E-1,2.384260893E0,1.117299080E0,2.092107296E0,3.363029910E0
5.879826100E-1,1.903015375E0,2.055909157E0,1.674602032E0,3.263820146E0
5.960085920E-1,1.573675156E0,2.497303963E0,1.010870457E0,3.120070457E0
6.040650900E-1,1.850688934E0,1.962004662E0,1.745548248E-1,2.702772874E0
6.120910720E-1,1.978350401E0,1.643086910E0,-9.368753433E-2,2.573398970E0
6.201170530E-1,2.008713722E0,1.710937977E0,-3.128957748E-1,2.657093025E0
6.281430340E-1,2.255265713E0,1.108695507E0,-7.833614349E-1,2.632315388E0
6.361995320E-1,1.919500589E0,1.583322525E0,-6.994161606E-1,2.584680966E0
6.442255130E-1,2.048350811E0,1.666171551E0,-6.318454742E-1,2.714976498E0
6.522514950E-1,2.619138241E0,1.179766178E0,-6.838474274E-1,2.952859743E0
6.602774770E-1,2.987433672E0,7.143559456E-1,-4.449400902E-1,3.103713267E0
6.683339750E-1,2.892074823E0,6.041536331E-1,-4.910550117E-1,2.995034795E0
6.763599560E-1,2.703915119E0,2.530479431E-1,-3.962545395E-1,2.744486818E0
6.843859370E-1,2.465743542E0,1.330871582E-1,-3.947420120E-1,2.500684838E0
6.924119190E-1,1.962692499E0,1.507282257E-2,-4.935240746E-1,2.023846597E0
7.004379000E-1,2.066098452E0,-4.496383667E-1,-5.305919647E-1,2.180014978E0
7.084943990E-1,2.165626049E0,-6.283946037E-1,-7.084493637E-1,2.363623587E0
7.165203800E-1,1.597145796E0,-6.958212852E-1,-7.947158813E-1,1.914840799E0
7.245463610E-1,1.284981847E0,-1.380750418E0,-8.459644318E-1,2.067197592E0
7.325723430E-1,1.178798079E0,-1.553949833E0,-4.525442123E-1,2.002279016E0
7.405983240E-1,6.616410613E-1,-1.576534033E0,-7.823371887E-2,1.711534097E0
7.486548230E-1,3.932275176E-1,-1.720737934E0,5.300140381E-2,1.765892428E0
7.566808040E-1,4.176836014E-1,-1.799472570E0,2.891626358E-1,1.869806448E0
7.647067850E-1,7.369042039E-1,-1.875514984E0,5.410366058E-1,2.086457493E0
7.727327670E-1,9.251464605E-1,-1.955706596E0,4.516448975E-1,2.210128362E0
7.807587480E-1,9.105794430E-1,-2.093593359E0,2.330713272E-1,2.294909654E0
7.888152470E-1,9.813529849E-1,-1.977542639E0,8.418560028E-2,2.209256840E0
7.968412280E-1,8.198289871E-1,-1.648448944E0,-6.792545319E-2,1.842313045E0
8.048672090E-1,2.843517065E-1,-1.242128611E0,-2.233877182E-1,1.293692951E0
8.128931910E-1,8.175849915E-2,-1.120675802E0,-3.475770950E-1,1.176183890E0
8.209191720E-1,5.872845650E-2,-1.329324722E0,-8.513650894E-1,1.579675842E0
8.289756700E-1,5.607020855E-1,-1.341748476E0,-1.170149803E0,1.866527890E0
8.370016510E-1,6.805193424E-1,-1.150102377E0,-1.375261307E0,1.917598945E0
8.450276330E-1,5.797103643E-1,-9.110376835E-1,-2.051495075E0,2.318336863E0
8.530536140E-1,5.872052908E-1,-5.189828873E-1,-3.087993622E0,3.185884163E0
8.610795960E-1,2.039408684E-1,-1.221189499E-1,-3.363915920E0,3.372304143E0
8.691360940E-1,3.135654926E-1,3.000173569E-1,-3.079358101E0,3.109787782E0
8.771620750E-1,3.780210018E-1,3.541433811E-1,-2.708488464E0,2.757576322E0
8.851880560E-1,1.444001198E-1,-1.013078690E-1,-2.416231632E0,2.422661755E0
8.932140370E-1,1.179177642E0,-1.785387993E-1,-1.978263855E0,2.309948894E0
9.012705360E-1,1.382615209E0,-1.690733433E-1,-1.351717472E0,1.940966444E0
9.092965180E-1,2.071148634E0,-9.239387512E-2,-6.468257904E-1,2.171768150E0
