"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
0.000000000E0,6.506070830E1,2.546666740E1,1.801478523E1,3.550000000E1,NaN,NaN,2.430661251E-2,2.859399986E1,2.723072767E0,0.000000000E0
1.082453872E1,6.506091425E1,2.546684118E1,1.851472592E1,3.600000000E1,5.600000024E-1,8.890000153E1,4.418738260E-2,3.600000000E1,3.800000000E1,1.500000000E1
1.181238934E1,6.506074091E1,2.546694512E1,2.551480379E1,4.300000000E1,4.099999964E-1,9.719999695E1,5.254314388E-2,2.700000000E1,3.300000000E1,1.700000000E1
1.281770876E1,6.506081605E1,2.546694403E1,1.751477495E1,3.500000000E1,3.299999833E-1,9.719999695E1,5.298531436E-2,3.150000000E1,3.300000000E1,2.000000000E1
1.382208526E1,6.506081962E1,2.546693983E1,1.851477312E1,3.600000000E1,5.299999714E-1,9.719999695E1,5.603058739E-2,2.550000000E1,2.900000000E1,2.200000000E1
1.482568330E1,6.506084627E1,2.546692492E1,1.951476127E1,3.700000000E1,5.500000119E-1,9.719999695E1,5.832513818E-2,2.150000000E1,2.600000000E1,2.400000000E1
1.581908618E1,6.506085105E1,2.546697252E1,2.151476477E1,3.900000000E1,3.799999952E-1,9.719999695E1,6.077641462E-2,2.050000000E1,2.500000000E1,2.600000000E1
1.682085356E1,6.506087309E1,2.546697286E1,2.151475638E1,3.900000000E1,8.999999613E-2,9.719999695E1,6.113087514E-2,1.700000000E1,2.100000000E1,2.800000000E1
1.782021376E1,6.506087288E1,2.546696532E1,1.751475562E1,3.500000000E1,0.000000000E0,NaN,6.446794009E-2,1.500000000E1,2.000000000E1,3.000000000E1
1.882227333E1,6.506089773E1,2.546700521E1,1.951475058E1,3.700000000E1,4.399999976E-1,9.719999695E1,6.513447930E-2,1.250000000E1,1.700000000E1,3.100000000E1
1.983225172E1,6.506089991E1,2.546701846E1,1.951475123E1,3.700000000E1,3.199999928E-1,9.719999695E1,6.769797364E-2,1.200000000E1,1.700000000E1,2.900000000E1
2.082522637E1,6.506087779E1,2.546703380E1,1.451476140E1,3.200000000E1,4.399999976E-1,9.719999695E1,6.910456341E-2,9.500000000E0,1.500000000E1,2.600000000E1
