"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.006427900E-2,2.402222157E-2,5.811548233E-2,1.663389206E-1,1.778288866E-1
1.809027800E-2,2.472925186E-2,-1.137399673E-2,2.500057220E-1,2.514831302E-1
2.611627700E-2,-7.903897762E-2,-4.221606255E-2,1.520404816E-1,1.764813417E-1
3.414227600E-2,-1.556426287E-1,-3.501582146E-2,2.001066208E-1,2.559167742E-1
4.219879200E-2,-1.081999540E-1,-6.264448166E-3,1.476764679E-1,1.831797274E-1
5.022479100E-2,-5.686140060E-2,3.763508797E-2,2.886676788E-2,7.404666780E-2
5.825079100E-2,-4.680240154E-2,4.775667191E-2,-5.147361755E-2,8.438422723E-2
6.627679000E-2,-1.765716076E-2,2.562546730E-2,-5.082607269E-2,5.959638887E-2
7.430278900E-2,8.920192719E-3,3.280138969E-2,-2.880191803E-2,4.455391662E-2
8.235930400E-2,7.408714294E-2,4.230284691E-2,-3.551864624E-2,9.241217364E-2
9.038530300E-2,9.579110146E-2,2.115130424E-2,-1.122188568E-2,9.873825757E-2
9.841130200E-2,5.135953426E-2,3.847002983E-2,-4.216003418E-2,7.678029329E-2
1.064373010E-1,6.268417835E-2,1.009726524E-2,-3.001594543E-2,7.022975126E-2
1.144633000E-1,5.298995972E-2,1.053142548E-2,-1.078033447E-2,5.509140010E-2
1.225198170E-1,-3.399336338E-2,-2.024173737E-4,-2.764320374E-2,4.381479704E-2
1.305458160E-1,-1.001675129E-1,-2.987480164E-2,-5.166816711E-2,1.166003169E-1
1.385718150E-1,-9.318137169E-2,-5.412840843E-2,-1.476011276E-1,1.827532366E-1
1.465978140E-1,-8.695125580E-4,-5.570626259E-2,-2.078952789E-1,2.152310172E-1
1.546238130E-1,2.900934219E-2,-2.731323242E-2,-1.369066238E-1,1.425867394E-1
1.626498120E-1,1.116979122E-2,1.843523979E-2,-1.475419998E-1,1.491082292E-1
1.707063290E-1,4.415106773E-2,-1.213812828E-2,-2.325601578E-1,2.370250576E-1
1.787323280E-1,5.658495426E-2,-1.818060875E-2,-1.957941055E-1,2.046160388E-1
1.867583270E-1,-1.622724533E-2,3.180456161E-2,-2.432603836E-1,2.458667685E-1
1.947843260E-1,-3.718984127E-2,1.238727570E-2,-2.717704773E-1,2.745828130E-1
2.028103250E-1,-5.611181259E-4,-1.287961006E-2,-2.743997574E-1,2.747024318E-1
2.108363240E-1,1.457226276E-1,-1.063179970E-2,-1.911678314E-1,2.406101809E-1
